Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2010-11-28,Wollongong,17.2,20.3,0.0,,,NE,35.0,NE,NNE,26.0,17.0,88.0,89.0,1009.9,1009.9,1.0,8.0,18.1,17.9,No,Yes
2011-02-08,MountGambier,13.1,22.6,0.0,5.2,11.0,SSE,41.0,SE,S,22.0,22.0,57.0,48.0,1024.9,1022.9,5.0,1.0,16.6,21.7,No,No
2013-01-29,Sydney,19.3,26.2,95.2,,4.5,E,70.0,WNW,SSE,11.0,24.0,93.0,71.0,1001.7,1004.9,8.0,6.0,21.5,24.0,Yes,No
2009-02-28,Dartmoor,,,,8.0,4.8,,,,,,,,,,,,,,,,
2011-01-26,Townsville,24.6,31.5,0.0,7.2,11.7,NE,39.0,E,ENE,9.0,28.0,63.0,61.0,1011.3,1009.3,3.0,2.0,29.3,30.1,No,No
2017-02-05,BadgerysCreek,21.9,41.8,0.0,,,NW,39.0,NW,NW,2.0,15.0,82.0,29.0,1010.2,1007.4,,,26.4,37.9,No,No
2012-10-01,Woomera,8.3,22.1,0.0,12.0,11.2,SE,31.0,ESE,SE,20.0,11.0,44.0,22.0,1031.6,1027.9,0.0,0.0,15.0,21.0,No,No
2017-02-23,Townsville,24.3,31.3,20.0,8.2,,ESE,41.0,SE,ESE,11.0,26.0,71.0,80.0,1014.7,1011.9,8.0,7.0,29.0,27.8,Yes,No
2012-09-30,Watsonia,6.1,14.3,1.4,3.4,8.6,WSW,39.0,WSW,SSW,17.0,19.0,72.0,62.0,1021.1,1022.9,5.0,7.0,11.0,12.9,Yes,No
2014-09-04,Perth,9.4,19.6,0.0,1.8,4.4,ESE,30.0,E,SE,13.0,13.0,60.0,55.0,1020.4,1015.9,4.0,7.0,13.9,18.9,No,No
2016-03-12,NorahHead,20.7,28.8,0.2,,,NE,48.0,SSW,ENE,2.0,13.0,100.0,73.0,1019.6,1018.1,,,22.9,28.5,No,No
2016-12-04,Penrith,18.3,34.1,0.0,,,SE,28.0,N,E,9.0,7.0,63.0,42.0,,,,,23.6,31.7,No,Yes
2016-09-04,Launceston,5.3,15.6,0.6,,,NNW,41.0,NW,NNW,20.0,24.0,76.0,75.0,,,,6.0,11.6,14.1,No,No
2016-11-24,Woomera,12.0,25.3,0.0,17.4,,SSE,44.0,SE,SSW,24.0,17.0,43.0,24.0,1019.5,1017.5,7.0,1.0,17.1,23.7,No,No
2016-06-29,Canberra,-4.3,12.8,0.2,,,NNW,15.0,,NW,0.0,9.0,99.0,48.0,1030.5,1026.5,7.0,,-1.1,12.2,No,No
2012-11-25,Williamtown,14.7,35.9,0.0,,,NW,35.0,NW,E,13.0,20.0,52.0,66.0,1014.3,1012.0,,,26.4,27.1,No,Yes
2015-04-17,Mildura,12.9,16.7,17.4,1.4,0.0,ESE,28.0,SE,NE,13.0,11.0,97.0,98.0,1021.0,1016.3,8.0,8.0,13.1,16.0,Yes,Yes
2016-09-14,Adelaide,8.6,11.9,15.6,,,WNW,61.0,WSW,WSW,30.0,26.0,84.0,92.0,1010.0,1008.6,,,9.0,10.6,Yes,Yes
2012-04-03,Townsville,19.8,33.1,0.0,6.8,10.9,ENE,26.0,,NE,0.0,9.0,67.0,40.0,1016.4,1012.0,1.0,2.0,26.7,32.3,No,No
2012-02-21,PearceRAAF,23.8,37.4,0.0,,12.3,SSW,39.0,NE,SW,15.0,20.0,43.0,28.0,1012.3,1008.5,0.0,2.0,29.8,36.7,No,No
2016-01-09,Brisbane,19.4,30.3,0.0,9.6,12.6,ENE,26.0,WNW,ENE,6.0,13.0,57.0,54.0,1020.7,1017.2,5.0,1.0,26.0,28.1,No,No
2014-11-08,AliceSprings,24.4,39.6,0.0,14.6,12.3,SSE,44.0,SSW,S,26.0,24.0,16.0,8.0,1014.1,1010.4,0.0,2.0,31.5,38.0,No,No
2009-10-25,Williamtown,11.3,22.3,0.0,4.6,1.3,SSE,43.0,,ESE,0.0,20.0,87.0,79.0,1015.5,1013.8,7.0,8.0,18.8,19.6,No,Yes
2012-04-30,Tuggeranong,0.8,15.0,0.0,,,W,17.0,,W,0.0,6.0,80.0,58.0,1027.8,1024.2,,,8.1,14.3,No,No
2014-10-22,Nhil,14.3,37.7,0.0,,,N,61.0,ENE,NW,19.0,17.0,39.0,11.0,1017.6,1013.1,,,21.5,36.0,No,No
2009-02-21,GoldCoast,21.7,29.7,6.8,,,SSE,57.0,SSW,SE,6.0,26.0,78.0,74.0,1011.4,1009.6,,,24.8,27.0,Yes,Yes
2017-01-23,GoldCoast,22.5,29.5,0.0,,,SE,37.0,SSE,ENE,17.0,11.0,64.0,50.0,1017.1,1014.9,,,24.9,27.9,No,No
2012-08-16,NorahHead,10.8,17.7,0.0,,,SSW,24.0,WSW,SSE,6.0,17.0,54.0,54.0,1014.7,1011.3,,,14.5,16.5,No,No
2014-02-05,Ballarat,10.6,30.0,0.2,,,ESE,70.0,NE,NNE,20.0,19.0,50.0,32.0,1019.5,1016.8,,,19.0,27.8,No,No
2013-07-02,Hobart,8.2,15.3,2.2,4.4,2.1,WNW,70.0,NW,WSW,30.0,15.0,78.0,83.0,1006.0,1008.3,,,12.9,10.4,Yes,Yes
2016-03-30,AliceSprings,14.5,28.7,0.0,4.4,10.9,ESE,37.0,ESE,SE,24.0,19.0,54.0,30.0,1020.7,1016.3,1.0,0.0,21.5,27.5,No,No
2013-08-27,Adelaide,9.3,24.0,0.0,2.6,6.9,N,39.0,NNE,N,13.0,19.0,40.0,28.0,1017.0,1012.4,,,18.4,22.9,No,No
2014-10-17,Sydney,12.2,20.8,0.0,4.0,8.8,SSE,50.0,SSE,S,20.0,31.0,75.0,45.0,1024.6,1024.9,7.0,3.0,15.2,19.9,No,No
2009-12-06,Witchcliffe,13.7,22.4,0.0,,,SE,46.0,SSE,SSE,24.0,24.0,75.0,61.0,1019.2,1018.4,,,18.0,21.7,No,No
2009-12-14,Townsville,25.0,32.3,0.6,12.6,10.7,NE,41.0,ENE,ENE,20.0,33.0,64.0,55.0,1013.7,1011.4,6.0,1.0,28.4,30.1,No,No
2010-10-17,SalmonGums,4.3,26.2,0.0,,,SSE,37.0,N,S,15.0,9.0,40.0,15.0,,,,,17.3,25.9,No,No
2014-05-07,Melbourne,9.7,16.5,1.2,2.4,5.8,SSE,35.0,S,S,9.0,17.0,52.0,49.0,1027.7,1026.6,7.0,5.0,13.3,15.5,Yes,No
2009-05-07,Woomera,9.4,20.4,0.0,5.0,9.7,SSE,43.0,SSE,SE,13.0,17.0,65.0,34.0,1029.5,1026.9,1.0,5.0,13.6,19.0,No,No
2016-07-14,Melbourne,6.6,14.0,1.0,3.0,4.5,NNW,43.0,N,NW,13.0,15.0,68.0,52.0,1028.8,1027.5,3.0,7.0,8.8,13.0,No,No
2017-02-27,Cobar,20.1,33.1,0.0,,,E,39.0,ENE,SSE,22.0,7.0,48.0,21.0,1019.1,1016.1,,,22.8,32.0,No,No
2012-08-03,Watsonia,3.1,15.8,0.2,1.8,9.1,N,31.0,N,N,17.0,17.0,64.0,54.0,1015.6,1013.3,2.0,6.0,10.0,14.9,No,No
2015-04-08,Melbourne,,,,3.8,5.9,S,46.0,SW,S,24.0,31.0,,,,,,,,,,
2013-12-01,Uluru,22.7,39.4,2.4,,,NNW,44.0,NNE,N,13.0,20.0,52.0,25.0,1010.3,1006.8,,,29.7,37.8,Yes,No
2014-12-14,Sydney,15.3,24.4,0.0,8.0,10.8,NNE,39.0,WNW,ENE,7.0,24.0,69.0,48.0,1014.4,1010.7,5.0,1.0,20.0,23.2,No,No
2010-06-27,Watsonia,5.2,12.4,16.8,0.2,6.6,WSW,17.0,N,WSW,4.0,2.0,99.0,65.0,1025.3,1022.7,1.0,6.0,6.1,11.2,Yes,No
2008-06-25,Sydney,9.9,19.6,0.0,2.8,9.8,,,W,WNW,17.0,6.0,69.0,43.0,1024.6,1020.6,1.0,0.0,11.8,19.4,No,No
2017-05-26,Uluru,14.3,27.6,0.4,,,WNW,39.0,,NW,0.0,20.0,68.0,27.0,1020.5,1016.1,4.0,7.0,16.1,27.2,No,No
2013-08-23,Sale,9.6,14.3,1.0,3.2,0.5,W,72.0,WNW,W,41.0,44.0,67.0,88.0,1004.0,1006.5,8.0,8.0,12.9,12.6,No,No
2016-08-19,Bendigo,10.7,12.4,1.4,,,NNE,57.0,N,NNW,20.0,13.0,79.0,90.0,1008.1,1008.2,8.0,8.0,12.4,8.7,Yes,Yes
2010-01-31,Nuriootpa,15.4,35.0,0.0,10.6,12.6,W,44.0,NE,W,13.0,30.0,27.0,21.0,1008.2,1008.7,6.0,3.0,28.4,31.3,No,No
2011-07-02,Ballarat,4.6,13.1,0.0,,,N,61.0,NNE,N,35.0,41.0,86.0,63.0,1020.8,1015.5,5.0,,6.0,12.0,No,Yes
2012-02-15,Watsonia,14.8,34.7,0.0,8.4,7.8,NNW,50.0,ENE,NNW,6.0,22.0,64.0,23.0,1016.5,1013.3,4.0,7.0,22.5,32.9,No,No
2012-02-17,PearceRAAF,16.1,30.6,0.0,,12.2,,,SSW,WSW,13.0,28.0,56.0,47.0,1013.2,1012.0,0.0,2.0,23.1,28.4,No,No
2014-10-07,Perth,5.8,22.2,0.0,5.4,11.5,SW,26.0,SSE,WSW,6.0,15.0,58.0,42.0,1020.2,1016.8,6.0,6.0,16.1,20.6,No,No
2013-10-12,NorfolkIsland,15.7,20.5,0.4,5.6,10.2,WNW,50.0,S,S,19.0,22.0,61.0,56.0,1017.5,1017.7,1.0,1.0,19.4,19.4,No,No
2009-06-17,Cobar,5.2,17.8,0.0,2.4,8.2,ENE,26.0,E,ESE,15.0,9.0,73.0,42.0,1026.2,1024.3,0.0,6.0,10.6,17.6,No,No
2013-09-25,Townsville,20.3,28.9,0.0,6.8,10.6,N,35.0,NNW,NNE,17.0,19.0,67.0,50.0,1016.5,1013.5,5.0,0.0,25.1,27.9,No,No
2014-08-01,Newcastle,8.7,21.0,0.0,,,,,NW,NW,19.0,37.0,30.0,38.0,,,0.0,3.0,17.7,17.8,No,No
2016-08-07,Katherine,9.6,31.5,0.0,6.6,,SSE,39.0,SSE,SE,7.0,13.0,57.0,,1016.8,1012.7,0.0,,21.4,,No,No
2017-02-21,CoffsHarbour,15.6,26.1,0.0,,,E,22.0,SSW,E,9.0,11.0,77.0,68.0,1018.7,1018.2,,5.0,21.9,25.5,No,No
2011-05-14,Launceston,-1.3,13.4,0.0,,,SSW,35.0,E,SW,4.0,9.0,88.0,43.0,1016.1,1018.6,,,3.0,13.1,No,No
2009-07-13,Witchcliffe,8.1,15.9,0.0,,,WSW,22.0,,SSW,0.0,9.0,91.0,55.0,1028.2,1028.2,,,10.8,14.4,No,No
2014-01-25,Uluru,20.7,28.8,5.4,,,ESE,44.0,ESE,SE,13.0,17.0,87.0,61.0,1012.6,1010.3,,,22.0,26.7,Yes,No
2014-10-18,Moree,11.5,28.5,0.0,,,E,33.0,E,NE,24.0,7.0,40.0,20.0,1026.0,1022.2,,,19.3,26.6,No,No
2015-09-18,Nhil,6.7,14.9,0.0,,,SSW,24.0,S,WSW,13.0,15.0,100.0,68.0,1030.4,1027.6,,,9.9,14.1,No,No
2010-10-29,Mildura,14.7,32.8,0.0,7.2,7.3,W,61.0,NNE,N,22.0,26.0,34.0,16.0,1010.2,1006.0,6.0,7.0,23.2,30.8,No,Yes
2016-01-20,Mildura,27.0,39.7,0.0,15.2,9.9,W,41.0,S,WSW,7.0,19.0,32.0,21.0,1009.2,1007.0,8.0,7.0,29.0,39.0,No,No
2009-08-13,MountGambier,5.9,16.0,0.2,1.4,6.7,NNW,28.0,N,NW,9.0,13.0,99.0,72.0,1015.0,1014.9,2.0,7.0,8.9,15.0,No,No
2012-04-26,MelbourneAirport,10.3,17.2,2.2,0.2,5.6,WSW,35.0,WSW,SW,24.0,13.0,78.0,63.0,1022.8,1020.9,6.0,7.0,13.4,16.5,Yes,No
2012-09-20,Williamtown,7.8,21.5,0.0,1.0,,SE,31.0,NW,ESE,6.0,19.0,67.0,60.0,1019.5,1015.0,2.0,2.0,17.5,20.2,No,No
2014-10-10,BadgerysCreek,8.7,26.3,0.0,,,E,30.0,S,N,4.0,11.0,77.0,34.0,1019.5,1014.3,,,15.6,25.3,No,No
2008-07-18,Hobart,3.6,13.9,0.0,0.2,6.0,NNW,46.0,NNE,NW,4.0,22.0,85.0,53.0,1001.7,999.7,5.0,3.0,6.0,13.2,No,No
2009-09-11,Cobar,6.5,26.0,0.0,4.6,11.3,NNW,37.0,NNE,NW,15.0,13.0,30.0,15.0,1022.6,1018.8,0.0,0.0,17.1,25.6,No,No
2011-09-10,Canberra,-5.2,14.0,0.4,2.6,8.5,WSW,63.0,NW,W,22.0,41.0,60.0,36.0,1011.9,1010.6,1.0,4.0,7.1,12.3,No,No
2012-07-11,Witchcliffe,6.5,13.4,6.4,,,SSE,57.0,SSE,S,20.0,31.0,,,1018.0,1020.4,,,11.8,11.3,Yes,Yes
2016-11-14,MelbourneAirport,9.5,16.6,11.2,3.2,3.2,SSW,54.0,SW,S,28.0,31.0,78.0,57.0,1010.6,1013.6,8.0,7.0,11.2,14.6,Yes,No
2010-09-26,Sale,4.7,19.2,0.0,4.4,10.7,ESE,35.0,WSW,E,22.0,20.0,72.0,55.0,1019.5,1015.3,3.0,1.0,14.0,17.5,No,No
2014-03-29,Sydney,18.7,25.7,0.8,3.6,5.6,SSE,41.0,W,SSE,15.0,24.0,80.0,59.0,1015.3,1015.0,6.0,7.0,20.6,24.4,No,No
2013-07-27,Watsonia,6.4,14.5,0.0,2.2,4.0,N,33.0,NNE,NNE,6.0,15.0,84.0,59.0,1027.0,1023.7,5.0,7.0,9.5,13.5,No,No
2014-05-17,Richmond,5.5,24.9,0.2,,,NNE,11.0,,NE,0.0,4.0,90.0,36.0,1030.7,1026.3,,4.0,11.9,23.4,No,No
2016-11-07,Uluru,16.3,41.2,0.0,,,W,59.0,NNW,NW,17.0,24.0,15.0,8.0,1007.0,1002.2,,8.0,31.4,38.5,No,No
2016-01-28,Williamtown,20.1,28.4,4.0,6.6,,NNE,30.0,N,NNW,11.0,13.0,95.0,69.0,1009.0,1005.2,8.0,6.0,20.5,26.8,Yes,Yes
2013-03-28,Sale,16.3,19.1,9.6,6.4,1.9,WSW,59.0,WSW,WSW,7.0,17.0,96.0,75.0,1013.0,1014.3,8.0,7.0,16.8,16.5,Yes,Yes
2015-05-22,PearceRAAF,12.8,22.4,0.0,,9.2,ENE,39.0,ENE,NNW,22.0,2.0,55.0,41.0,1020.0,1016.5,5.0,,16.4,21.6,No,No
